"length","sau","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
136,"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,25,0,6,12,0,0,0,0,0,0,0,0
138,"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,30,1,24,19,0,3,0,0,0,0,0,0
140,"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,65,9,43,39,0,19,9,0,0,0,0,0
142,"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,62,5,68,40,0,45,23,0,0,0,0,0
144,"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,73,9,63,48,0,66,39,0,0,0,0,18
146,"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,82,4,50,46,0,67,50,0,0,0,0,46
148,"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,103,10,54,43,0,81,52,0,0,0,0,44
150,"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,78,11,52,41,0,89,37,0,0,0,0,35
152,"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,72,11,52,39,0,101,51,0,0,0,0,35
154,"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,69,17,27,44,0,94,47,0,0,0,0,31
156,"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,50,5,39,43,0,82,36,0,0,0,0,24
158,"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,37,4,17,48,0,70,50,0,0,0,0,16
160,"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,27,1,15,29,0,54,45,0,0,0,0,11
162,"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,24,0,8,36,0,44,38,0,0,0,0,13
164,"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,20,3,7,31,0,17,33,0,0,0,0,5
166,"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,3,12,22,0,22,30,0,0,0,0,8
168,"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,2,9,26,0,12,16,0,0,0,0,1
170,"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,2,5,20,0,18,12,0,0,0,0,1
172,"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,1,2,18,0,5,6,0,0,0,0,0
174,"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,16,0,2,8,0,0,0,0,0
176,"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,3,0,2,4,0,0,0,0,2
178,"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,2,2,0,2,3,0,0,0,0,0
180,"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,1,0,1,5,0,0,0,0,0
182,"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,2,0,0,3,0,0,0,0,0
184,"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,2,0,0,2,0,0,0,0,0
186,"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,1,0,0,0,0,0,0
188,"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
190,"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
192,"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
194,"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
196,"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
202,"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,"7",0,1,0,0,0,0,0,0,0,0,0,5,1,1,0,2,0,0,16,3,5,20,0,0,0,0,0,0,0,0,0
138,"7",3,3,3,0,2,0,0,0,2,0,0,8,3,2,0,3,0,0,68,11,5,33,0,0,3,0,0,0,0,0,0
140,"7",35,14,23,12,4,5,0,0,2,0,0,26,23,5,1,18,2,0,128,15,34,64,4,15,2,5,0,0,0,0,0
142,"7",36,16,30,16,6,8,0,0,2,0,0,25,29,14,2,19,6,0,152,24,45,82,13,27,12,11,0,0,0,0,2
144,"7",35,23,27,14,6,12,0,0,7,0,0,38,34,22,5,38,18,0,169,27,65,109,16,17,17,22,0,0,0,0,5
146,"7",74,35,57,27,13,26,0,0,7,0,0,33,38,31,8,37,18,0,185,42,78,132,20,33,27,32,0,0,0,0,12
148,"7",55,24,19,17,6,16,0,0,12,0,0,25,47,38,8,34,12,0,153,44,76,134,25,40,54,38,0,0,0,0,12
150,"7",95,34,41,24,21,31,0,0,12,0,0,34,33,25,7,21,18,0,187,69,57,136,22,53,65,54,0,0,0,0,16
152,"7",41,24,25,8,15,17,0,0,21,0,0,37,65,33,10,28,13,0,147,35,68,119,43,41,83,76,0,0,0,0,10
154,"7",49,21,20,12,12,17,0,0,21,0,0,20,59,37,10,38,19,0,161,63,92,116,38,41,114,83,0,0,0,0,13
156,"7",61,33,31,18,19,29,0,0,23,0,0,14,51,37,9,32,13,0,123,50,66,117,36,44,117,68,0,0,0,0,8
158,"7",45,13,18,5,11,21,0,0,23,0,0,22,61,41,6,24,21,0,124,32,67,83,47,38,114,71,0,0,0,0,10
160,"7",67,32,25,13,10,31,0,0,21,0,0,21,43,39,9,22,8,0,95,46,77,94,42,27,120,60,0,0,0,0,3
162,"7",39,13,19,5,14,13,0,0,17,0,0,8,33,27,5,23,12,0,86,37,59,62,27,25,89,59,0,0,0,0,8
164,"7",33,26,9,4,6,14,0,0,15,0,0,16,54,22,12,19,9,0,80,21,50,71,17,14,86,46,0,0,0,0,4
166,"7",43,28,14,7,10,24,0,0,12,0,0,12,30,23,5,9,6,0,54,37,59,40,17,22,72,49,0,0,0,0,4
168,"7",29,13,7,4,7,6,0,0,7,0,0,4,44,29,1,9,10,0,35,25,37,36,16,9,69,36,0,0,0,0,2
170,"7",24,17,13,7,6,12,0,0,16,0,0,3,16,15,1,7,0,0,53,8,33,35,10,11,47,15,0,0,0,0,2
172,"7",8,7,3,3,8,4,0,0,15,0,0,2,17,11,0,7,2,0,28,13,21,24,2,10,26,16,0,0,0,0,1
174,"7",8,9,6,1,4,6,0,0,6,0,0,4,11,10,0,2,0,0,7,9,23,22,0,11,25,10,0,0,0,0,1
176,"7",6,5,5,0,4,5,0,0,7,0,0,1,5,12,0,0,0,0,15,4,10,15,2,3,24,12,0,0,0,0,2
178,"7",4,4,0,0,4,1,0,0,4,0,0,3,10,10,0,4,3,0,8,4,11,10,2,4,11,6,0,0,0,0,0
180,"7",6,1,0,2,6,1,0,0,6,0,0,0,5,5,1,0,0,0,9,2,7,6,1,5,10,0,0,0,0,0,0
182,"7",2,2,3,0,0,1,0,0,4,0,0,0,2,3,0,1,0,0,5,1,5,1,2,6,3,5,0,0,0,0,2
184,"7",0,1,0,1,2,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0,1,3,0,3,1,0,0,0,0,0,0
186,"7",1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,2,0,3,0,1,4,0,0,0,0,0,0
